    INT     ,         FLOAT          ,          FLOAT           ,        FLOAT        ,     FLOAT     ,      FLOAT       ,        FLOAT        ,      FLOAT      ,     FLOAT     ,    INT    ,     FLOAT     ,    FLOAT     ,     FLOAT      ,    FLOAT     ,     FLOAT      ,      INT      , BOOL  ,      INT       ,      INT       ,         INT         ,    FLOAT     ,      FLOAT      ,     FLOAT      ,       FLOAT       ,       FLOAT       ,    FLOAT     ,        BOOL        ,      FLOAT       ,      FLOAT       ,    FLOAT     ,        BOOL        
     -      ,         kms^-1         ,          kms^-1          ,          -          ,    kms^-1     ,        -         ,          -          ,        -        ,       -       ,     -     ,       -       ,      -       ,      Rsol      ,     Rsol     ,      Myr       ,     State     , State ,       -        ,       -        ,          -          ,     Msol     ,      Msol       ,      Msol      ,       Msol        ,       Msol        ,     Msol     ,       Event        ,      kms^-1      ,      kms^-1      ,    kms^-1    ,       State        
    SEED    ,Drawn_Kick_Magnitude(SN),Applied_Kick_Magnitude(SN),Fallback_Fraction(SN),Orb_Velocity<SN,Kick_Magnitude(uK),True_Anomaly(psi)(SN),SN_Kick_Theta(SN),SN_Kick_Phi(SN),SN_Type(SN),Eccentricity<SN, Eccentricity ,SemiMajorAxis<SN,SemiMajorAxis ,      Time      ,Supernova_State,Unbound,Stellar_Type(CP),Stellar_Type(SN),Stellar_Type_Prev(SN),   Mass(CP)   ,Mass_Total@CO(SN),Mass_Core@CO(SN),Mass_CO_Core@CO(SN),Mass_He_Core@CO(SN),   Mass(SN)   ,Experienced_RLOF(SN),ComponentSpeed(SN),ComponentSpeed(CP),SystemicSpeed ,Is_Hydrogen_Poor(SN)
  1605160538,            5.362972e+02,              3.616842e+02,         3.255900e-01,   1.171938e+02,      3.086205e+00,         6.174517e+00,     5.060501e+00,  -1.235762e+00,          1,   0.000000e+00,  1.092259e+01,    2.222084e+02, -2.210327e+01,  7.90201799e+00,              1,1,               1,              13,                    8,  8.757335e+00,     7.247427e+00,    5.253639e+00,       5.253639e+00,       7.247427e+00,  2.692647e+00,1,      3.246007e+02,      5.376126e+01,  9.603183e+01,1
  1605160539,            4.531689e+01,              4.531689e+01,         0.000000e+00,           -nan,               nan,         0.000000e+00,     2.604781e+00,   2.360366e-01,         16,   0.000000e+00,  0.000000e+00,    0.000000e+00,  0.000000e+00,  2.62899725e+01,              1,0,              15,              13,                    8,  0.000000e+00,     1.417657e+00,    1.417657e+00,       1.417657e+00,       1.417657e+00,  1.277584e+00,1,      4.531689e+01,      0.000000e+00,  0.000000e+00,1
  1605160540,            3.145945e+02,              3.076318e+02,         2.213206e-02,   2.256786e+01,      1.363142e+01,         4.857116e+00,     2.098281e+00,   6.694411e-01,          1,   0.000000e+00,  3.056075e+02,    7.470949e+03, -2.368106e+01,  2.60992672e+01,              1,1,               4,              13,                    5,  9.717590e+00,     1.023667e+01,    3.001935e+00,       1.973342e+00,       3.001935e+00,  1.277584e+00,0,      3.021761e+02,      1.161071e+01,  4.045767e+01,0
  1605160541,            3.398822e+02,              2.926592e+02,         1.389395e-01,   5.018174e+00,      5.831986e+01,         5.058295e+00,     1.154376e+00,  -1.086515e+00,          1,   0.000000e+00,  9.787159e+03,    1.592873e+05, -1.491651e+01,  1.16386601e+01,              1,1,               1,              13,                    5,  3.827798e+00,     1.720764e+01,    5.908522e+00,       4.228194e+00,       5.908522e+00,  2.885668e+00,0,      2.926959e+02,      4.104432e+00,  1.257009e+02,0
  1605160542,            4.900052e+02,              4.787073e+02,         2.305661e-02,   3.265693e+01,      1.465867e+01,         5.866868e+00,     5.699738e+00,  -1.047027e+00,          1,   0.000000e+00,  2.619738e+02,    3.420036e+03, -9.398367e+00,  2.78654521e+01,              1,1,               1,              13,                    5,  9.253296e+00,     9.874302e+00,    2.864229e+00,       1.871276e+00,       2.864229e+00,  1.277584e+00,0,      4.700259e+02,      1.689915e+01,  6.539388e+01,0
  1605160543,            1.500469e+02,              1.468881e+02,         2.105160e-02,   7.467183e+00,      1.967116e+01,         6.222600e+00,     6.232574e-01,   6.598859e-01,          1,   0.000000e+00,  7.004759e+02,    7.006485e+04, -8.059548e+01,  1.93823734e+01,              1,1,               1,              13,                    5,  8.313892e+00,     1.217379e+01,    3.762749e+00,       2.562032e+00,       3.762749e+00,  1.303569e+00,0,      1.483826e+02,      4.428655e+00,  1.830470e+01,0
  1605160544,            1.818923e+02,              1.277718e+02,         2.975412e-01,   6.345906e+00,      2.013453e+01,         5.723912e+00,     6.830161e-02,   3.441531e-01,          1,   0.000000e+00,  5.447564e+02,    1.855755e+05, -2.744311e+02,  9.60564452e+00,              1,1,               4,              14,                    5,  1.910729e+01,     2.008377e+01,    7.227925e+00,       5.514137e+00,       7.227925e+00,  6.200049e+00,0,      1.300614e+02,      3.228205e+00,  2.999132e+01,0
  1605160545,            4.614043e+02,              4.497068e+02,         2.535191e-02,   4.654407e+00,      9.661958e+01,         2.245649e-01,     4.174361e-02,   5.900637e-01,          1,   0.000000e+00,  7.094498e+03,    1.344021e+05, -6.980236e+00,  3.25412230e+01,              1,1,               1,              13,                    5,  6.180164e+00,     9.088952e+00,    2.571157e+00,       1.643716e+00,       2.571157e+00,  1.277584e+00,0,      4.503635e+02,      2.769780e+00,  7.635669e+01,0
